"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"3_131_20251231","1_656_20251231","3_656_233_1_5753_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_5732_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2857_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2859_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_5687_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2860_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2862_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2863_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2865_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_5754_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2866_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2871_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2874_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2880_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2881_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2884_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2885_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_5755_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2887_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2889_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2890_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2893_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2895_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2891_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2899_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2900_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_5756_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2903_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_5689_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2905_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_5690_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2906_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2908_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2909_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2911_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_5757_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2914_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2917_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_657_20251231","3_657_233_1_2920_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_659_20251231","3_659_233_1_2781_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_659_20251231","3_659_233_1_2782_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_659_20251231","3_659_233_1_2783_20251231","福山駅前",,"0",,,,,"1",
